,Boat Type,Manufacturer,Type,Year Built,Length,Width,Material,Number of views last 7 days,Country,City,USD_price
7772,Sport Boat,Stingray power boats,"Used boat,Unleaded",2013,6.99,2.52,GRP,493,Switzerland , Lake Constance ,63720.00000000001
7773,Flybridge,Bayliner power boats,"Used boat,Diesel",1994,11.72,4.1,GRP,526,Switzerland , Murtensee ,63720.00000000001
7774,Wakeboard/Wakesurf,Malibu power boats,"Used boat,Unleaded",2007,7.49,2.59,GRP,691,Switzerland , Lake of Zurich ,63720.00000000001
7775,Sport Boat,Boesch power boats,"Used boat,Unleaded",1996,5.9,2.15,Wood,301,Switzerland , Lake of Zurich ,63720.00000000001
7776,Sport Boat,Yamarin power boats,new boat from stock,2020,7.55,2.47,Aluminium,117,Germany , auf Anfrage,57812.4
7777,Motor Yacht,Sessa power boats,"Used boat,Unleaded",2001,10.0,3.0,GRP,105,Croatia (Hrvatska) , Istra,57770.0
7778,Trawler,Proficiat power boats,Used boat,1995,9.7,3.5,Steel,101,Netherlands , In verkoophaven,57770.0
7779,Motor Yacht,Airon Marine power boats,"Used boat,Diesel",2005,9.78,3.1,GRP,135,Italy , Marche - Umbria ,57770.0
7782,Motor Yacht,Rio power boats,"Used boat,Diesel",2001,10.01,3.23,GRP,88,Portugal , Lisbon,57240.0
7783,Motor Yacht,Sea Ray power boats,"Used boat,Unleaded",2005,9.47,2.87,GRP,187,Croatia (Hrvatska) , Zadar NÃ¤he,57240.0
7784,Deck Boat,Sessa power boats,"Used boat,Unleaded",2012,7.8,2.64,PVC,30,France ," BANDOL, France",57240.0
7785,Bowrider,Invictus power boats,"new boat from stock,Unleaded",2019,6.1,2.4,GRP,119,Germany , Baden-WÃ¼rttemberg ,57240.0
7786,Center console boat,Kelt power boats,"Used boat,Unleaded",2015,7.47,2.67,PVC,48,France ," CONCARNEAU, France",57240.0
7787,Flybridge,Rodman power boats,"Used boat,Diesel",2001,9.0,3.31,GRP,138,Spain , Alicante,57240.0
7788,Center console boat,ManÃ² power boats,Used boat,2008,9.04,3.0,GRP,115,Italy , Campania ,57240.0
7789,Motor Yacht,Cranchi power boats,"Used boat,Diesel",2003,10.39,3.1,GRP,269,Italy , Veneto ,57240.0
7791,Pilothouse,Jeanneau power boats,"Used boat,Diesel",2010,8.56,2.99,PVC,56,France ," Ãtables-sur-Mer, France",57240.0
7792,Motor Yacht,Larson power boats,"Used boat,Unleaded",2007,8.6,2.9,GRP,161,Netherlands , Nordbrabant ,57240.0
7793,Runabout,Quicksilver (Brunswick Marine) power boats,"new boat from stock,Unleaded",2020,6.99,2.55,GRP,63,Germany , Kieler Bucht mit Fehmarn ,57238.94
7794,Center console boat,Rio power boats,Used boat,2008,9.65,3.05,PVC,56,France ," PORT DE LA POINTE ROUGE 13008 MARSEILLE, France",57237.880000000005
7796,Center console boat,Flipper power boats,"new boat on order,Unleaded",2020,6.05,2.22,GRP,97,Spain , Mallorca ,57134.0
